wave_rank,candidate_id,style_code,colour_code,model_name_candidate,priority_score,evidence_count,domain_count,source_urls_json
1,4a5974ce-454c-5798-87de-1081a48b8344,M3600,04C,twin tipped polo shirt,73,3,3,"[""https://www.fredperry.com/m3600-m3600-04c.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-twin-tipped-m3600-roze-04c.html"", ""https://www.eqvvs.co.uk/products/fred-perry-twin-tipped-fred-perry-polo-shirt-04c-strawberry-cream-ecru-black-m3600""]"
2,b4ffaf59-8830-59f1-8cde-67ab0db473b6,M3600,81C,polo tipped brique,73,3,3,"[""https://www.fredperry.com/m3600-m3600-81c.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-tipped-m3600-brique-81c.html"", ""https://www.eqvvs.co.uk/products/fred-perry-regular-fit-twin-tipped-fred-perry-polo-shirt-81c-brandy-night-green-night-green-m3600""]"
3,2da1659d-093e-5ffe-93fd-8574d36c8499,M3600,85B,twin tipped polo shirt,73,3,3,"[""https://www.fredperry.com/m3600-m3600-85b.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-twin-tipped-m3600-grijs-85b.html"", ""https://www.eqvvs.co.uk/products/fred-perry-twin-tipped-fred-perry-polo-shirt-85b-anchor-grey-light-ice-sport-green-m3600""]"
4,bb0de2fe-37a8-5a22-885a-06c4e4754127,M3600,87B,twin tipped polo shirt,73,3,3,"[""https://www.fredperry.com/m3600-m3600-87b.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-twin-tipped-m3600-groen-87b.html"", ""https://www.eqvvs.co.uk/products/fred-perry-twin-tipped-fred-perry-polo-shirt-87b-laurel-wreath-green-ecru-dusky-blue-m3600""]"
5,422af11d-6d11-5a72-aa5d-fb2f62c42138,M3600,T50,polo,73,3,3,"[""https://www.fredperry.com/m3600-m3600-t50.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-m3600-donkergroen-t50.html"", ""https://www.eqvvs.co.uk/products/fred-perry-twin-tipped-fred-perry-polo-shirt-t50-night-green-snow-white-m3600""]"
6,57e68222-2d53-57db-984b-3128e81b9e64,M3600,T60,polo 3xl,73,3,3,"[""https://www.fredperry.com/m3600-m3600-t60.html"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-m3600-wit-t60.html"", ""https://prm.com/eu/p/fred-perry-cotton-polo-shirt-twin-tipped-shirt-white-color-m3600-t60-38621""]"
7,8761090b-bbb1-5602-aeca-b0f6923fee08,M3600,U98,polo,73,3,3,"[""https://www.fredperry.com/m3600-m3600-u98.html"", ""https://www.eqvvs.co.uk/products/fred-perry-regular-fit-twin-tipped-fred-perry-polo-shirt-u98-field-green-oatmeal-m3600"", ""https://www.suitableshop.nl/fred-perry/poloshirts/fred-perry-polo-m3600-donkergroen-u98.html""]"
8,b5f630e8-de30-52d8-a0fd-e7b9eb23f9ab,M3600,350,twin tipped polo shirt,68,3,2,"[""https://www.fredperry.com/m3600-m3600-350.html"", ""https://www.eqvvs.co.uk/products/fred-perry-twin-tipped-polo-shirt-350-black-m3600""]"
9,ab399936-f252-5f13-8337-269f9058bf13,J2321,28A,crinkle harrington jacket,67,2,2,"[""https://www.fredperry.com/crinkle-harrington-jacket-j2321-28a.html"", ""https://www.eqvvs.co.uk/products/fred-perry-crinkle-harrington-jacket-28a-dusky-blue-j2321""]"
10,e4c000ee-e173-59ce-a5c0-73eb74f8783e,J2332,102,argyle track jacket,67,2,2,"[""https://www.fredperry.com/argyle-track-jacket-j2332-102.html"", ""https://www.eqvvs.co.uk/products/fred-perry-argyle-track-jacket-102-black-j2332""]"
